code,win_size,LSTM1,LSTM2,batch_size,lr,epoch
193,6,128,64,12,0.001,100
194,12,128,64,12,0.001,100
195,24,128,64,12,0.001,100
196,48,128,64,12,0.001,100
197,6,256,128,12,0.001,100
198,12,256,128,12,0.001,100
199,24,256,128,12,0.001,100
200,48,256,128,12,0.001,100
201,6,512,256,12,0.001,100
202,12,512,256,12,0.001,100
203,24,512,256,12,0.001,100
204,48,512,256,12,0.001,100
205,6,128,64,24,0.001,100
206,12,128,64,24,0.001,100
207,24,128,64,24,0.001,100
208,48,128,64,24,0.001,100
209,6,256,128,24,0.001,100
210,12,256,128,24,0.001,100
211,24,256,128,24,0.001,100
212,48,256,128,24,0.001,100
213,6,512,256,24,0.001,100
214,12,512,256,24,0.001,100
215,24,512,256,24,0.001,100
216,48,512,256,24,0.001,100
217,6,128,64,32,0.001,100
218,12,128,64,32,0.001,100
219,24,128,64,32,0.001,100
220,48,128,64,32,0.001,100
221,6,256,128,32,0.001,100
222,12,256,128,32,0.001,100
223,24,256,128,32,0.001,100
224,48,256,128,32,0.001,100
225,6,512,256,32,0.001,100
226,12,512,256,32,0.001,100
227,24,512,256,32,0.001,100
228,48,512,256,32,0.001,100
229,6,128,64,64,0.001,100
230,12,128,64,64,0.001,100
231,24,128,64,64,0.001,100
232,48,128,64,64,0.001,100
233,6,256,128,64,0.001,100
234,12,256,128,64,0.001,100
235,24,256,128,64,0.001,100
236,48,256,128,64,0.001,100
237,6,512,256,64,0.001,100
238,12,512,256,64,0.001,100
239,24,512,256,64,0.001,100
240,48,512,256,64,0.001,100
241,6,128,64,12,0.0001,100
242,12,128,64,12,0.0001,100
243,24,128,64,12,0.0001,100
244,48,128,64,12,0.0001,100
245,6,256,128,12,0.0001,100
246,12,256,128,12,0.0001,100
247,24,256,128,12,0.0001,100
248,48,256,128,12,0.0001,100
249,6,512,256,12,0.0001,100
250,12,512,256,12,0.0001,100
251,24,512,256,12,0.0001,100
252,48,512,256,12,0.0001,100
253,6,128,64,24,0.0001,100
254,12,128,64,24,0.0001,100
255,24,128,64,24,0.0001,100
256,48,128,64,24,0.0001,100
257,6,256,128,24,0.0001,100
258,12,256,128,24,0.0001,100
259,24,256,128,24,0.0001,100
260,48,256,128,24,0.0001,100
261,6,512,256,24,0.0001,100
262,12,512,256,24,0.0001,100
263,24,512,256,24,0.0001,100
264,48,512,256,24,0.0001,100
265,6,128,64,32,0.0001,100
266,12,128,64,32,0.0001,100
267,24,128,64,32,0.0001,100
268,48,128,64,32,0.0001,100
269,6,256,128,32,0.0001,100
270,12,256,128,32,0.0001,100
271,24,256,128,32,0.0001,100
272,48,256,128,32,0.0001,100
273,6,512,256,32,0.0001,100
274,12,512,256,32,0.0001,100
275,24,512,256,32,0.0001,100
276,48,512,256,32,0.0001,100
277,6,128,64,64,0.0001,100
278,12,128,64,64,0.0001,100
279,24,128,64,64,0.0001,100
280,48,128,64,64,0.0001,100
281,6,256,128,64,0.0001,100
282,12,256,128,64,0.0001,100
283,24,256,128,64,0.0001,100
284,48,256,128,64,0.0001,100
285,6,512,256,64,0.0001,100
286,12,512,256,64,0.0001,100
287,24,512,256,64,0.0001,100
288,48,512,256,64,0.0001,100
